#,Player Name,Pos.,GP,G,A,Pts,PIM,#ERROR!,GP,G,A,Pts,PIM,Birthplace,Age
225,Jake Stuart 1,F,47,6,8,14,27,3,--,--,--,--,--,CA: Manhattan Beach,18
226,Branko Vukas 2,D,42,1,11,12,8,10,16,0,6,6,2,IN: Dyer,19
227,Louis Jonerheim,L,24,1,10,11,10,0,16,2,7,9,14,Sweden: Lund,19
228,Carter Amico,D,27,1,10,11,41,-3,16,3,4,7,12,ME: Westbrook,18
229,Nate Larioza,D,29,4,5,9,12,3,16,2,5,7,21,CA: San Jose,19
230,Barrett Dexheimer 3,D,31,0,9,9,22,7,--,--,--,--,--,MN: Edina,19
231,Gustas Zemaitis,F,39,2,3,5,12,-15,6,0,0,0,0,IL: Barrington,19
232,Jean-Samuel Daigneault,D,47,0,5,5,27,-2,12,0,0,0,2,PQ: Saint-Michel,17
233,Lars Hutson,D,50,0,5,5,24,0,--,--,--,--,--,IL: North Barrington,16
234,Nick Koering 3,D,19,2,2,4,17,8,--,--,--,--,--,MN: Eden Praire,18
235,Will Schlechtweg,F,25,1,3,4,10,-3,2,0,0,0,0,NY: Goshen,17
236,Reese Lantz 4,D,19,0,4,4,8,5,--,--,--,--,--,WI: Hartland,18
237,Nathaniel Celski,D,27,0,3,3,6,-4,1,0,0,0,0,MN: Vadnais Heights,17
238,Peyton Schneider,F,7,1,1,2,2,-1,--,--,--,--,--,MI: Clarkston,16
239,Teddy Lechner 5,D,21,0,2,2,2,7,14,0,2,2,2,MN: Bloomington,17
240,Ethan Drabicki 6,F,8,1,0,1,17,-2,--,--,--,--,--,MI: Livonia,18
241,Brock Fairbanks,F,16,1,0,1,2,-1,--,--,--,--,--,MN: Oakdale,18
242,Gus Thorp 7,D,21,1,0,1,10,-9,16,0,3,3,6,WI: Eau Claire,18
243,Jackson Walsh,F,5,0,1,1,0,0,--,--,--,--,--,MI: Northville,20
244,Samuel Doyon-Cataquiz,G,6,0,1,1,0,0,--,--,--,--,--,PQ: Montreal,18
245,Carl Axelsson,G,44,0,1,1,2,0,16,0,1,1,0,Sweden: Danderyd,18
246,Max Cullen,F,8,0,0,0,6,-2,15,2,1,3,4,MN: Moorhead,16
